I_rho,I_theta,I_sigma,I_E,I_B,I_H,I_M,C2_weyl,rho_mean,theta_mean,Q_D,Q_var,Q_shear,I_Q_derived,I_Q_var,I_Q_shear,model,t,I_rho_norm,I_theta_norm,I_sigma_norm,I_E_norm,I_B_norm,D_FLRW,I_rho_driver_fraction,I_theta_driver_fraction,I_sigma_driver_fraction,I_E_driver_fraction,I_B_driver_fraction,dominant_driver,regime,I_Q_recon,PC1,PC2
4.735137583587982e-32,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.040816326530613,2.8571428571428577,0.0,0.0,-0.0,0.0,0.0,0.0,FLRW,0.7,9.453229184443046e-31,0.0,0.0,0.0,0.0,1.8906458368886091e-31,4.735137583587982e-20,0.0,0.0,0.0,0.0,none,FLRW-like,0.0,0.4074299429667505,-0.4776990074150385
0.0,2.8062010826484825e-32,0.0,0.0,0.0,0.0,0.0,0.0,1.7569591459844158,2.651006711409397,-1.1842378929335002e-15,-1.1842378929335002e-15,-0.0,1.6850674866856517e-16,1.6850674866856517e-16,0.0,FLRW,0.7544303797468354,0.0,5.7933526822172065e-30,0.0,0.0,0.0,1.1586705364434414e-30,0.0,2.8062010826484823e-20,0.0,0.0,0.0,none,FLRW-like,1.870800721765655e-32,0.4074299429667505,-0.4776990074150385
2.1104521913853766e-32,1.290291915080501e-31,0.0,0.0,0.0,0.0,0.0,0.0,1.528454328824626,2.4726134585289508,2.9605947323337505e-15,2.9605947323337505e-15,-0.0,4.842465156629756e-16,4.842465156629756e-16,0.0,FLRW,0.8088607594936709,4.213306983333471e-31,2.663784920223824e-29,0.0,0.0,0.0,5.4118359801143185e-30,2.1104521913853767e-20,1.290291915080501e-19,0.0,0.0,0.0,none,FLRW-like,8.601946100536673e-32,0.4074299429667505,-0.4776990074150385
2.738480068893083e-32,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.3417927262407443,2.3167155425219943,-5.921189464667501e-16,-5.921189464667501e-16,-0.0,1.1032235733710517e-16,1.1032235733710517e-16,0.0,FLRW,0.8632911392405063,5.467101905972462e-31,0.0,0.0,0.0,0.0,1.0934203811944926e-31,2.738480068893083e-20,0.0,0.0,0.0,0.0,none,FLRW-like,0.0,0.4074299429667505,-0.4776990074150385
3.4972293305248384e-32,4.152429631736773e-32,0.0,0.0,0.0,0.0,0.0,0.0,1.1873483947681331,2.1793103448275857,1.1842378929335002e-15,1.1842378929335002e-15,-0.0,2.493450738956258e-16,2.493450738956258e-16,0.0,FLRW,0.9177215189873418,6.981869014027e-31,8.572617797594182e-30,0.0,0.0,0.0,1.8541609397993766e-30,3.4972293305248387e-20,4.152429631736773e-20,0.0,0.0,0.0,none,FLRW-like,2.7682864211578483e-32,0.4074299429667505,-0.4776990074150385
4.4036923008925816e-32,4.659600770719516e-32,0.0,0.0,0.0,0.0,0.0,0.0,1.0581122504340283,2.057291666666667,-5.921189464667501e-16,-5.921189464667501e-16,-0.0,1.398998419647179e-16,1.398998419647179e-16,0.0,FLRW,0.9721518987341772,8.791531786191742e-31,9.619663676286434e-30,0.0,0.0,0.0,2.0997633709811218e-30,4.403692300892582e-20,4.659600770719516e-20,0.0,0.0,0.0,none,FLRW-like,3.1064005138130104e-32,0.4074299429667505,-0.4776990074150385
1.3689749814321962e-32,1.1690968622277549e-31,0.0,0.0,0.0,0.0,0.0,0.0,0.9488825809119673,1.948212083847103,-2.0724163126336253e-15,-2.0724163126336253e-15,-0.0,5.460149533573708e-16,5.460149533573708e-16,0.0,FLRW,1.0265822784810126,2.733021801119701e-31,2.4135798693964438e-29,0.0,0.0,0.0,4.881820174815282e-30,1.3689749814321964e-20,1.169096862227755e-19,0.0,0.0,0.0,none,FLRW-like,7.793979081518365e-32,0.4074299429667505,-0.4776990074150385
1.6832304429715994e-32,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8557333172451996,1.8501170960187354,0.0,0.0,-0.0,0.0,0.0,0.0,FLRW,1.081012658227848,3.3604014385544126e-31,0.0,0.0,0.0,0.0,6.720802877108825e-32,1.6832304429715994e-20,0.0,0.0,0.0,0.0,none,FLRW-like,0.0,0.4074299429667505,-0.4776990074150385
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7756562504272262,1.7614269788182835,0.0,0.0,-0.0,0.0,0.0,0.0,FLRW,1.1354430379746834,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,none,FLRW-like,0.0,0.4074299429667505,-0.4776990074150385
2.470719875295032e-32,6.980426773083629e-32,0.0,0.0,0.0,0.0,0.0,0.0,0.7063150746944319,1.6808510638297878,-1.1842378929335002e-15,-1.1842378929335002e-15,-0.0,4.191606321886195e-16,4.191606321886195e-16,0.0,FLRW,1.1898734177215189,4.932545426488875e-31,1.4410968058888227e-29,0.0,0.0,0.0,2.980844520307423e-30,2.470719875295032e-20,6.980426773083629e-20,0.0,0.0,0.0,none,FLRW-like,4.653617848722419e-32,0.4074299429667505,-0.4776990074150385
