epsilon,I_sigma,I_E,Q_shear
0.0,0.0,-1.7347234759750722e-18,-0.0
0.005,6.250000000000013e-06,8.683159723353242e-08,-1.2500000000000026e-05
0.01,2.5000000000000045e-05,3.476388888845251e-07,-5.000000000000009e-05
0.015,5.62500000000001e-05,7.83359375001056e-07,-0.0001125000000000002
0.02,0.00010000000000000018,1.3955555555528108e-06,-0.00020000000000000036
0.025,0.0001562500000000003,2.186414930555984e-06,-0.0003125000000000006
0.03,0.0002250000000000004,3.158749999996947e-06,-0.0004500000000000008
0.035,0.00030625000000000053,4.315998263880828e-06,-0.0006125000000000011
0.04,0.0004000000000000007,5.662222222213291e-06,-0.0008000000000000014
0.045,0.0005062500000000011,7.202109375004875e-06,-0.0010125000000000021
0.05,0.0006250000000000011,8.940972222212874e-06,-0.0012500000000000022
0.055,0.0007562500000000014,1.0884748263877532e-05,-0.0015125000000000028
0.06,0.0008999999999999982,1.3039999999988447e-05,-0.0017999999999999965
0.065,0.001056250000000002,1.5413914930552242e-05,-0.002112500000000004
0.07,0.0012249999999999984,1.8014305555545706e-05,-0.002449999999999997
0.075,0.0014062499999999984,2.0849609374979997e-05,-0.002812499999999997
0.08,0.0015999999999999983,2.3928888888865964e-05,-0.0031999999999999967
0.085,0.0018062499999999984,2.7261831597189817e-05,-0.003612499999999997
0.09,0.002024999999999999,3.085874999997823e-05,-0.004049999999999998
0.095,0.0022562499999999987,3.473058159718114e-05,-0.004512499999999997
0.1,0.0024999999999999988,3.88888888888489e-05,-0.0049999999999999975
0.105,0.002756249999999999,4.334585937495162e-05,-0.005512499999999998
0.11,0.0030250000000000003,4.811430555551467e-05,-0.006050000000000001
0.115,0.0033062499999999993,5.320766493050141e-05,-0.006612499999999999
0.12,0.0036,5.863999999993744e-05,-0.0072
0.125,0.00390625,6.442599826382109e-05,-0.0078125
0.13,0.004225000000000001,7.058097222215556e-05,-0.008450000000000003
0.135,0.00455625,7.712085937492195e-05,-0.0091125
0.14,0.004900000000000001,8.406222222213419e-05,-0.009800000000000001
0.145,0.005256250000000001,9.142224826380225e-05,-0.010512500000000003
0.15,0.005625000000000002,9.921874999991505e-05,-0.011250000000000005
0.155,0.006006250000000002,0.00010747016493044364,-0.012012500000000004
0.16,0.006400000000000003,0.00011619555555543971,-0.012800000000000006
0.165,0.006806250000000003,0.0001254146093748694,-0.013612500000000007
0.17,0.007225000000000005,0.00013514763888875935,-0.01445000000000001
0.17500000000000002,0.007656250000000004,0.00014541558159707318,-0.015312500000000008
0.18,0.008100000000000003,0.00015623999999984394,-0.016200000000000006
0.185,0.00855625,0.00016764308159705388,-0.0171125
0.19,0.009025000000000002,0.00017964763888870725,-0.018050000000000004
0.195,0.009506249999999999,0.00019227710937481102,-0.019012499999999998
0.2,0.010000000000000005,0.00020555555555534788,-0.02000000000000001
